x, y, z
-2.808975, -0.3843684, -0.06570542
-2.929956, -0.1814659, 0.01499677
-2.875798, -0.2650788, 0.08795694
-2.841864, -0.2363205, -0.04161495
-2.769492, -0.4031997, -0.03573504
-2.72969, -0.493551, -0.06601247
-2.929718, -0.1808093, -0.09099293
-2.785973, -0.4300003, 0.1072512
-2.734393, -0.471004, 0.06373332
-2.861057, -0.3991144, 0.04129231
-2.778934, -0.4419341, 0.05608861
-2.919794, -0.2838581, 0.1181079
-2.726879, -0.5214152, 0.07825105
-2.86713, -0.3046322, 0.03752398
-2.768859, -0.4689412, 0.1399146
-2.784493, -0.5305173, 0.05692083
-2.823808, -0.3659725, 0.1039076
-2.815386, -0.2914424, 0.1782881
-2.784474, -0.403223, 0.1927707
-2.759215, -0.3681271, 0.2235093
-2.867256, -0.3584566, 0.1332934
-2.922351, -0.1799662, 0.2099821
-2.794275, -0.3754025, 0.1468835
-2.770758, -0.2299399, 0.2235014
-2.686417, -0.5597763, 0.1679955
-2.833491, -0.2676616, 0.2231197
-2.880337, -0.2562978, 0.201092
-2.922666, -0.08296824, -0.2235024
-2.838742, -0.2599013, -0.1803026
-2.877702, -0.2268548, -0.1146354
-2.867892, -0.315459, -0.1044855
-2.789225, -0.306026, -0.07705116
-2.823351, -0.3424737, -0.09478095
-2.852795, -0.2291329, -0.2233301
-2.752984, -0.2908831, -0.2235042
-2.928718, -0.1831157, -0.03800286
-2.736463, -0.358717, -0.1459687
-2.785149, -0.3629324, -0.005048543
-2.760863, -0.4109738, 0.01605478
-2.781478, -0.3690388, 0.06782964
-2.741262, -0.4600716, 0.01233894
-2.662248, -0.4604468, -0.03133568
-2.84217, -0.2173867, 0.01073354
-2.835314, -0.2535729, -0.09738272
-2.870908, -0.3526213, 0.01532631
-2.702466, -0.4879646, -0.01056163
-2.704397, -0.4714763, -0.1231181
-2.734664, -0.4430864, 0.1087645
-2.745217, -0.3622451, 0.02978624
-2.878562, -0.2129745, 0.09724517
-2.754935, -0.3815892, 0.111943
-2.817901, -0.4074621, 0.07148801
-2.921255, -0.2259459, 0.1708849
-2.684151, -0.3828495, -0.005930781
-2.920526, -0.2330034, 0.06540452
-2.887244, -0.200752, 0.03972639
-2.645324, -0.5276747, 0.1773768
-2.652167, -0.5671685, 0.1282309
-2.927192, -0.1809349, 0.07266179
-2.713889, -0.4163682, 0.1808658
-2.824742, -0.3162723, 0.08554555
-2.921064, -0.182812, 0.1401034
-2.931204, -0.02343535, 0.2235118
-2.778207, -0.3337815, 0.1072481
-2.930664, -0.1294096, 0.2235188
-2.74685, -0.3712118, 0.1720763
-2.827055, -0.2737494, 0.1297125
-2.871722, -0.1966605, -0.180171
-2.920872, -0.1359324, -0.2234915
-2.889204, -0.2048655, -0.06588122
-2.720086, -0.4080181, -0.05475459
-2.782518, -0.2556248, -0.09195173
-2.787616, -0.2715011, -0.03688635
-2.790446, -0.2763224, 0.091483
-2.930581, -0.1284795, 0.06533891
-2.536865, -1.457881, -0.1717672
-2.39348, -1.549623, -0.09451744
-2.488985, -1.54544, -0.04836196
-2.199696, -1.596393, -0.03213707
-2.441436, -1.438724, -0.1883129
-2.105817, -1.681306, -0.05838658
-2.189712, -1.597414, -0.1657004
-2.029695, -1.649658, 0.004684895
-2.124247, -1.588305, -0.04734315
-2.198295, -1.570598, -0.08913377
-2.568181, -1.417297, -0.1968126
-2.185202, -1.651166, 0.004054457
-2.290705, -1.599773, -0.02220897
-2.391853, -1.614417, 0.04681872
-2.167744, -1.602321, 0.09585972
-2.488616, -1.538352, -0.1298505
-2.516931, -1.50052, -0.04539077
-2.27411, -1.539555, 0.1754763
-2.295686, -1.586422, 0.1875794
-2.054856, -1.659119, -0.06552687
-2.074844, -1.611119, 0.1113818
-2.310852, -1.584686, 0.07863647
-2.12543, -1.625509, 0.117761
-2.256997, -1.564389, -0.04264855
-2.495098, -1.457824, 0.1280513
-2.358093, -1.54775, 0.1273283
-2.541874, -1.406376, 0.2235024
-2.443089, -1.555382, -0.07289013
-2.435501, -1.511281, 0.1721398
-2.565619, -1.419103, 0.1740003
-2.585469, -1.375191, 0.2235076
-2.258208, -1.586349, 0.067332
-2.357735, -1.53103, -0.1289421
-2.369973, -1.544847, -0.03480889
-2.513816, -1.41067, -0.1650221
-2.385696, -1.515803, -0.2235156
-2.457663, -1.496084, -0.1378517
-2.289049, -1.588447, -0.08066101
-2.562379, -1.335528, -0.2235034
-2.386602, -1.462823, -0.2235055
-1.909253, -1.648409, -0.0483826
-2.159984, -1.565441, -0.01559445
-2.146857, -1.613392, 0.002760082
-2.377085, -1.540386, -0.1773829
-2.313622, -1.511582, -0.0343779
-2.410834, -1.516467, -0.05700269
-2.242509, -1.593873, -0.001002192
-2.303107, -1.574703, -0.1844811
-2.110062, -1.615988, 0.04081789
-2.06917, -1.561948, 0.09245932
-2.172918, -1.498967, 0.05300008
-2.539761, -1.456414, 0.035616
-2.273397, -1.533048, -0.003200904
-2.360524, -1.496369, -0.05402347
-1.989143, -1.638075, 0.03676417
-2.134473, -1.65542, 0.0664407
-2.327547, -1.62127, -0.06492382
-2.259369, -1.537154, 0.0477335
-2.165937, -1.609135, -0.07255244
-2.089145, -1.658987, 0.09365427
-2.624457, -1.289808, -0.0988584
-2.270802, -1.517563, -0.06576449
-2.140516, -1.647029, -0.03767183
-2.374582, -1.496493, 0.03676805
-2.332278, -1.604267, 0.02036183
-2.210746, -1.70147, -0.04609154
-2.095936, -1.63086, 0.165048
-2.593206, -1.370622, -0.1984792
-2.270736, -1.508824, 0.1324305
-2.012081, -1.599804, 0.008184165
-2.160647, -1.503545, 0.1712718
-2.411302, -1.557194, 0.03869304
-2.278302, -1.546795, 0.0962798
-2.448638, -1.520487, 0.0305656
-2.369013, -1.488231, 0.1709306
-2.322412, -1.558648, -0.0116995
-2.490246, -1.48245, -0.1773592
-2.214045, -1.62115, -0.09124601
-2.322325, -1.438911, 0.09997801
-2.21886, -1.459127, 0.1772329
-2.209533, -1.572418, 0.08295928
-2.461916, -1.480211, 0.06233105
-2.592602, -1.370212, 0.1712333
-2.231531, -1.542571, 0.1208094
-2.186309, -1.544002, 0.1486539
-2.026661, -1.666094, 0.06154305
